DATE_OF_INTEREST,CASE_COUNT,probable_case_count,HOSPITALIZED_COUNT,DEATH_COUNT,DEATH_COUNT_PROBABLE,CASE_COUNT_7DAY_AVG,all_case_count_7day_avg,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,all_death_count_7day_avg,BX_CASE_COUNT,bx_probable_case_count,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,bx_probable_death_count,BX_CASE_COUNT_7DAY_AVG,bx_all_case_count_7day_avg,BX_HOSPITALIZED_COUNT_7DAY_AVG,BX_DEATH_COUNT_7DAY_AVG,bx_all_death_count_7day_avg,BK_CASE_COUNT,bk_probable_case_count,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,bk_probable_death_count,BK_CASE_COUNT_7DAY_AVG,bk_all_case_count_7day_avg,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,bk_all_death_count_7day_avg,MN_CASE_COUNT,mn_probable_case_count,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,mn_probable_death_count,MN_CASE_COUNT_7DAY_AVG,mn_all_case_count_7day_avg,MN_HOSPITALIZED_COUNT_7DAY_AVG,MN_DEATH_COUNT_7DAY_AVG,mn_all_death_count_7day_avg,QN_CASE_COUNT,qn_probable_case_count,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,qn_probable_death_count,QN_CASE_COUNT_7DAY_AVG,qn_all_case_count_7day_avg,QN_HOSPITALIZED_COUNT_7DAY_AVG,QN_DEATH_COUNT_7DAY_AVG,qn_all_death_count_7day_avg,SI_CASE_COUNT,si_probable_case_count,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,si_probable_death_count,SI_CASE_COUNT_7DAY_AVG,si_all_case_count_7day_avg,SI_HOSPITALIZED_COUNT_7DAY_AVG,SI_DEATH_COUNT_7DAY_AVG,si_all_death_count_7day_avg,INCOMPLETE
2/29/2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/2020,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/2020,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/2020,3,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/6/2020,8,0,8,0,0,3,3,5,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,0,3,0,3,0,0,1,1,1,0,0,1,0,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3/7/2020,7,0,8,0,0,3,3,6,0,0,0,0,1,0,0,0,0,1,0,0,2,0,3,0,0,1,1,2,0,0,1,0,0,0,0,1,1,1,0,0,3,0,4,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
3/8/2020,21,0,18,0,0,6,6,8,0,0,3,0,5,0,0,1,1,1,0,0,5,0,8,0,0,2,2,3,0,0,6,0,1,0,0,2,2,2,0,0,6,0,4,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
3/9/2020,57,0,38,0,0,15,15,14,0,0,4,0,8,0,0,1,1,2,0,0,16,0,11,0,0,4,4,4,0,0,24,0,10,0,0,5,5,3,0,0,10,0,7,0,0,3,3,3,0,0,3,0,2,0,0,1,1,1,0,0,0
3/10/2020,69,0,58,0,0,24,24,21,0,0,8,0,6,0,0,2,2,3,0,0,11,0,12,0,0,6,6,6,0,0,24,0,12,0,0,9,9,5,0,0,24,0,23,0,0,7,7,6,0,0,2,0,5,0,0,1,1,1,0,0,0
3/11/2020,155,0,80,1,0,46,46,32,0,0,19,0,23,0,0,5,5,6,0,0,31,0,12,0,0,10,10,7,0,0,62,0,19,0,0,17,17,7,0,0,40,0,23,1,0,12,12,10,0,0,3,0,3,0,0,2,2,2,0,0,0
3/12/2020,355,0,108,0,0,96,96,45,0,0,29,0,19,0,0,9,9,9,0,0,96,0,34,0,0,23,23,12,0,0,137,0,16,0,0,37,37,9,0,0,80,0,36,0,0,23,23,14,0,0,13,0,3,0,0,3,3,2,0,0,0
3/13/2020,619,0,152,0,0,183,183,66,0,0,79,0,27,0,0,20,20,13,0,0,166,0,44,0,0,47,47,18,0,0,182,0,29,0,0,62,62,12,0,0,166,0,50,0,0,47,47,21,0,0,26,0,2,0,0,7,7,2,0,0,0
3/14/2020,642,1,176,2,1,274,274,90,0,1,86,0,22,0,0,33,33,16,0,0,163,0,39,1,0,70,70,23,0,0,176,1,37,0,1,87,87,18,0,0,194,0,71,1,0,74,74,31,0,0,23,0,7,0,0,10,10,3,0,0,0
3/15/2020,"1,035",0,210,4,0,419,419,117,1,1,119,0,38,1,0,49,49,20,0,0,432,0,53,0,0,131,131,29,0,0,206,0,34,2,0,116,116,22,0,0,231,0,66,1,0,106,106,39,0,0,47,0,19,0,0,17,17,6,0,0,0
3/16/2020,"2,121",1,341,8,1,714,714,161,2,2,305,0,74,3,0,92,92,30,1,1,740,1,91,1,1,234,234,41,0,0,457,0,46,0,0,178,178,28,0,0,528,0,115,4,0,180,180,55,1,1,91,0,15,0,0,29,29,8,0,0,0
3/17/2020,"2,452",3,387,8,3,"1,054","1,055",208,3,4,343,0,62,1,0,140,140,38,1,1,783,3,99,4,3,344,345,53,1,1,567,0,76,0,0,255,255,37,0,0,651,0,128,3,0,270,270,70,1,1,108,0,22,0,0,44,44,10,0,0,0
3/18/2020,"2,971",5,494,20,4,"1,456","1,458",267,6,7,482,1,111,1,1,206,206,50,1,1,965,3,121,6,2,478,479,69,2,3,538,1,86,4,1,323,324,46,1,1,835,0,153,9,0,384,384,88,3,3,150,0,23,0,0,65,65,13,0,0,0
3/19/2020,"3,706",4,630,24,3,"1,935","1,937",341,9,11,623,3,134,4,3,291,292,67,1,2,"1,204",0,161,6,0,636,637,87,3,3,555,1,105,4,0,383,383,59,1,2,"1,065",0,206,6,0,524,524,113,3,3,258,0,24,4,0,100,100,16,1,1,0
3/20/2020,"4,006",3,745,47,3,"2,419","2,421",426,16,18,723,0,126,13,0,383,384,81,3,4,"1,136",0,222,11,0,775,776,112,4,5,653,1,117,11,1,450,451,72,3,3,"1,184",1,248,9,1,670,670,141,5,5,310,1,32,3,1,141,141,20,1,1,0
3/21/2020,"2,638",6,741,44,6,"2,704","2,707",507,22,25,490,1,165,12,1,441,441,101,5,6,554,2,185,12,2,831,832,133,6,7,399,1,117,5,1,482,483,83,4,4,947,0,240,14,0,777,777,165,7,7,248,2,34,1,2,173,174,24,1,2,0
