Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Other_All,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Other_All
20210307,AK,59332,18300,1499,0,2447,12238,1508,4453,7130,11757,23340,305,127,9,0,29,111,17,4,1,7,12
20210307,AL,499819,160347,82790,0,2273,0,0,0,38000,216409,254409,10148,4730,2223,0,24,0,0,0,300,2871,3171
20210307,AR,324818,207596,50842,0,2913,1070,3358,1804,16491,40744,59039,5319,4171,784,0,36,18,56,13,203,38,254
20210307,AZ,826454,308453,25775,244539,11921,40707,0,0,46964,148095,195059,16328,8066,433,4684,220,1361,0,0,465,1099,1564
20210307,CA,3501394,546630,111279,1509103,186562,9025,15281,42824,304477,776213,1123514,54124,16586,3275,24402,6105,184,322,693,1103,1454,3250
20210307,CO,435762,181669,12637,119224,6406,2527,1264,6580,3312,102143,112035,5986,3869,191,1204,115,37,9,186,38,337,561
20210307,CT,285330,85469,19651,41523,3019,393,0,17642,15284,102349,135275,7704,5413,906,782,83,3,0,353,38,126,517
20210307,DC,41419,10708,20164,0,914,86,82,0,9148,317,9465,1030,105,773,119,14,0,0,0,0,19,19
20210307,DE,88354,42730,19768,14532,1842,0,0,0,5190,4292,9482,1473,1036,329,80,11,0,0,0,15,2,17
20210307,FL,1944995,664121,237772,608165,0,0,0,0,141809,293128,434937,32266,17316,4812,7325,0,0,0,0,1427,1386,2813
20210307,GA,1023487,319208,216068,85460,17888,504,746,0,36133,347480,383613,17906,8939,5282,852,298,10,10,0,78,2437,2515
20210307,HI,27891,3646,580,0,6068,0,8008,0,1035,8554,9589,445,40,4,0,244,0,137,0,6,14,20
20210307,IA,339671,200406,10190,0,3397,888,824,0,2379,121587,123966,5558,5154,134,0,61,19,16,0,47,127,174
20210307,ID,172931,99914,1008,0,1219,2054,409,0,13191,55136,68327,1879,1761,9,0,17,35,0,0,41,16,57
20210307,IL,1198335,470333,110701,219967,27074,1492,1125,0,41054,326589,367643,23014,12202,3668,3291,737,26,20,0,120,2950,3070
20210307,IN,667262,452265,44471,0,8987,0,0,0,72744,88795,161539,12737,9096,939,0,70,0,0,0,1591,1041,2632
20210307,KS,295861,209752,14330,0,5525,2074,0,0,12197,51983,64180,4812,3721,235,0,64,38,0,0,245,509,754
20210307,KY,410709,286431,26883,0,3680,833,374,16253,0,76255,92508,4819,3981,371,0,23,4,2,118,0,320,438
20210307,LA,433785,218332,136460,0,16684,1527,492,0,34552,25738,60290,9748,5798,3723,0,75,15,13,0,39,85,124
20210307,MA,591356,219467,35342,125873,16039,504,156,0,47605,146370,193975,16417,12022,1069,1289,414,11,5,0,1373,234,1607
20210307,MD,387319,134697,112033,62261,8867,0,0,0,18321,51140,69461,7955,4078,2736,727,277,0,0,0,80,57,137
20210307,ME,45794,36271,2252,0,502,139,26,178,907,5519,6604,706,602,10,0,3,5,0,1,6,79,86
20210307,MI,656072,378135,74321,0,10362,3596,0,25954,35465,128239,189658,16658,11205,3634,0,179,79,0,270,425,866,1561
20210307,MN,490011,327714,39044,43792,21470,4634,556,8424,6470,37907,52801,6550,5440,319,203,259,90,6,101,23,109,233
