county,deaths
Albany County,357
Allegany County,87
Bronx County,4566
Broome County,366
Cattaraugus County,92
Cayuga County,92
Chautauqua County,145
Chemung County,136
Chenango County,77
Clinton County,33
Columbia County,104
Cortland County,63
Delaware County,39
Dutchess County,446
Erie County,1812
Essex County,26
Franklin County,12
Fulton County,93
Genesee County,124
Greene County,79
Hamilton County,2
Herkimer County,109
Jefferson County,68
Kings County,7320
Lewis County,36
Livingston County,60
Madison County,89
Monroe County,1115
Montgomery County,127
Nassau County,3179
New York County,3035
Niagara County,374
Oneida County,516
Onondaga County,678
Ontario County,93
Orange County,723
Orleans County,83
Oswego County,93
Otsego County,47
Putnam County,93
Queens County,6956
Rensselaer County,143
Richmond County,1162
Rockland County,756
St. Lawrence County,97
Saratoga County,168
Schenectady County,205
Schoharie County,18
Schuyler County,14
Seneca County,57
Steuben County,146
Suffolk County,3403
Sullivan County,76
Tioga County,63
Tompkins County,52
Ulster County,257
Warren County,57
Washington County,55
Wayne County,71
Westchester County,2293
Wyoming County,53
Yates County,26
