county,biden,biden_pct,trump,trump_pct
Albany County,99474,0.648,51081,0.333
Allegany County,6048,0.292,14135,0.683
Bronx County,355374,0.835,67740,0.159
Broome County,47010,0.507,43800,0.472
Cattaraugus County,11879,0.342,22155,0.638
Cayuga County,16149,0.444,19512,0.536
Chautauqua County,23087,0.39,34853,0.589
Chemung County,16636,0.422,21922,0.556
Chenango County,8290,0.372,13482,0.605
Clinton County,18364,0.518,16514,0.466
Columbia County,20386,0.574,14464,0.407
Cortland County,10369,0.479,10789,0.498
Delaware County,9143,0.398,13387,0.583
Dutchess County,81443,0.541,66872,0.444
Erie County,267174,0.565,197527,0.418
Essex County,9947,0.516,8976,0.466
Franklin County,9253,0.48,9668,0.502
Fulton County,7931,0.334,15378,0.648
Genesee County,9625,0.33,18876,0.646
Greene County,10346,0.412,14271,0.568
Hamilton County,1178,0.341,2225,0.643
Herkimer County,9937,0.339,18870,0.644
Jefferson County,17307,0.395,25629,0.584
Kings County,703310,0.77,202772,0.222
Lewis County,3824,0.296,8894,0.687
Livingston County,12477,0.398,18182,0.579
Madison County,14807,0.435,18408,0.541
Monroe County,225746,0.595,145661,0.384
Montgomery County,7977,0.378,12745,0.603
Nassau County,396504,0.543,326716,0.447
New York County,603040,0.868,85185,0.123
Niagara County,46029,0.442,56068,0.539
Oneida County,41567,0.413,57180,0.568
Onondaga County,138991,0.589,91715,0.389
Ontario County,29025,0.487,29039,0.487
Orange County,84684,0.492,84996,0.494
Orleans County,5587,0.308,12126,0.668
Oswego County,21143,0.388,32138,0.59
Otsego County,12975,0.463,14382,0.514
Putnam County,24953,0.454,29283,0.533
Queens County,569038,0.722,212665,0.27
Rensselaer County,40969,0.517,36500,0.461
Richmond County,90997,0.421,123320,0.571
Rockland County,75802,0.504,73186,0.487
St. Lawrence County,19361,0.432,24608,0.55
Saratoga County,68471,0.516,61305,0.462
Schenectady County,42465,0.568,30741,0.411
Schoharie County,5345,0.341,9903,0.631
Schuyler County,3903,0.401,5621,0.577
Seneca County,6914,0.443,8329,0.534
Steuben County,15790,0.342,29474,0.638
Suffolk County,381021,0.494,381253,0.494
Sullivan County,15489,0.447,18665,0.539
Tioga County,9634,0.385,14791,0.591
Tompkins County,33619,0.736,11096,0.243
Ulster County,57970,0.595,37590,0.386
Warren County,17642,0.488,17699,0.49
Washington County,11565,0.412,15941,0.567
Wayne County,17456,0.39,26204,0.586
Westchester County,312371,0.676,144713,0.313
Wyoming County,5073,0.262,13898,0.717
Yates County,4219,0.395,6208,0.581
